title,company,city,contract_type,salary,description,link
Data Scientist Computer vision F/H,Luana Boffo,Paris 2e (75),-,-,"Descriptif du poste:
Afin de renforcer le pôle Data Science, nous recherchons des profils data scientists motivés, désireux de travailler sur l’évolution de l’économie, type ESG (Environnement Social Gouvernance) et spécialement sur le traitement d'images optiques.
Les missions sur lesquelles tu vas intervenir incluent :
Le traitement et l'analyse d'images optiques dans l'objectif de construire des indicateurs macroéconomiques destinés à la plateforme QuantCube
Préparation des images: extraction, preprocessing, feature engineering des bandes, utilisations de morphologies et filtres
Compréhension et analyse des séries temporelles produites, détection d'anomalies, modélisation des indicateurs ESG
Ce que nous avons à offrir :
Tu auras l’opportunité au cours de ces missions d’évoluer rapidement en responsabilité, de communiquer en direct avec nos équipes Technologique et Data Science qui sont à la pointe dans leur domaine, de présenter tes travaux à l’ensemble de l’équipe, de mener à bien un projet de A à Z .
Profil recherché:
Maîtrise des modèles de Machine Learning par classification et régression (Random Forest, arbres de décision, clustering). Computer Vision (Deep learning networks, DenseNet), Time Series (types ARMA, VAR)
Fort intérêt pour l’Economie et la Finance
Langage de programmation : Python
Bon niveau d’Anglais obligatoire
Avoir déjà travaillé sur le traitement d’images est un plus
Entreprise:
Chez QuantCube Technology, le produit-phare est l’estimation de l’activité économique en temps réel à partir de l’analyse des données du Big Data, c’est-à-dire des données provenant des satellites, des réseaux sociaux, du trafic maritime et aérien, des océans, et plus encore…
Ce produit est distribué sous forme de plateforme permettant d’être 3 à 6 mois en avance par rapport aux indicateurs officiels. Les clients sont aussi bien les institutions financières que les institutions internationales.
Cette plateforme technologique a pu être réalisée en combinant plusieurs types de compétences au sein d’une équipe internationale : data science, expertise en macroéconomie et finance, infrastructure technologique, organisation agile, etc...
Conseils:
Une lettre de motivation sera fortement appréciée",https://fr.indeed.com/rc/clk?jk=99643ad2804b0066&fccid=f843045e8db6a245&vjs=3
Data scientist - Python / Linux (H/F),Dataquantic,14000 Caen,CDI,-,"En bref : l'entreprise Dataquantic recrute un(e) Data scientist - Python / Linux (H/F) en CDI à Caen (code postal 14000). Le candidat idéal ? Expérience de 2 - 5 ans et des compétences en #Python # hadoop CDP # pySpark # Git # linux # CI / CD # data
Descriptif de poste :
Descriptif de poste :
Entreprise


Dataquantic est un spécialiste de l'intégration logicielle des plateformes d'analyse de données d'entreprise, avec de fortes compétences dans la mise en œuvre des outils de business intelligence et d'analyse avancée de données. Les plateformes sur lesquelles nous intervenons peuvent être déployées en interne, dans le Cloud ou en environnement Hybride.

Nos consultants sont spécialisés dans l'étude, l'implémentation, l'intégration, la mise en production, la maintenance évolutive et corrective et la migration des différentes composantes de ces plateformes : Datalake, Data Warehouse, Business Intelligence, Chaîne de traitement distribuée de données, Chaîne d'analyse avancée des données, Chaîne d'analyse temps réel , Gouvernance des données et DataOps.

DATAQUANTIC accompagne ses clients dans leurs projets et les conseille sur leurs architectures. Nous pouvons également réaliser des audits afin d'optimiser leurs projets.


Mission :


En tant que Data scientist vous accompagnerez le client sur la production, la conception et la mise en œuvre des nouvelles solutions.

Prestations demandées :

Planifier et effectuer des migrations d'applications vers HadoopSuivre et améliorer continuellement les data productsProposer des évolutions des produits existants ou de nouveaux produitsProposer et mettre en œuvre l'industrialisation du machine Learning
Profil recherché :
Profil recherché :
De formation Ecole d'Ingénieur ou Master (Bac +5), vous justifiez d'une première expérience sur une des technologies suivantes :

pythonhadoop CDPpysparkgitlinuxCI / CD

Anglais obligatoire.


Qualités


Excellent relationnelBon communicantProactifPédagogueCapacité d'analyse et de synthèse
Compétences :
#Python # hadoop CDP # pySpark # Git # linux # CI / CD # data
Postuler à l’offre",https://fr.indeed.com/rc/clk?jk=7b91b92c873f8713&fccid=4ca98cb73e9a3c62&vjs=3
CIFRE PhD - Airframe Data Analyst (m/f),Airbus,31300 Toulouse,-,-,"Airbus Operations SAS
Airbus pioneers sustainable aerospace for a safe and united world. The Company constantly innovates to provide efficient and technologically-advanced solutions in aerospace, defence, and connected services. In commercial aircraft, Airbus offers modern and fuel-efficient airliners and associated services. Airbus is also a European leader in defence and security and one of the world's leading space businesses. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions and services worldwide.
Job Description
Description en Français ci-dessous / the description in English is featuring below fyi
Dans le cadre de sa démarche de numérisation et d'amélioration continue, Airbus Operations SAS propose un sujet de thèse visant à améliorer la façon dont les composants structurels des cellules d'avion sont optimisés.
Les outils développés par AIRBUS en matière d'optimisation mathématique des structures se sont jusqu'à présent concentrés sur l'optimisation du poids avec des variables continues dans des contraintes déterministes et sont loin de répondre à l'ensemble de la problématique industrielle.
Pour répondre aux objectifs de coût et de standardisation, il est nécessaire d'introduire des aspects multi-objectifs et des variables mixtes (approche catalogue déjà expérimentée avec succès dans une précédente thèse). Il est également nécessaire de prendre en compte les incertitudes qui peuvent survenir au cours de la maturation du produit et potentiellement dues à la variation des exigences.
Trois cas d'utilisation d'une complexité croissante seront ensuite abordés afin de rendre les méthodes établies capables de résoudre un problème complet à l'échelle adéquate : les taquets du cadre du fuselage, les longerons d'aile, le caisson d'aile complet.
Ces cas d'utilisation sont orientés vers les composites et permettront d'étudier des technologies alternatives (double-double).
La formulation du problème sera basée sur le formalisme de l'optimisation mathématique, mais sa résolution en tenant compte du contexte multicritère, à variables mixtes et probabiliste pour des problèmes de grande taille nécessitera l'utilisation des progrès récents en intelligence artificielle comme l'apprentissage par renforcement profond.
L'objectif de ce doctorat est de développer une approche holistique pour automatiser la conception de structures aéronautiques en considérant ;
Tous les critères comme le poids, le coût, la standardisation, la fabricabilité, la durabilité.
Toutes les sources d'incertitudes
Cette approche soutiendra les phases de co-développement ""hors cycle"" tout en prenant en compte les exigences des programmes de pointe à travers des formulations multicritères tout en protégeant la conception des variations des variables sensibles à travers la gestion des incertitudes.
Le sujet proposé se situe à l'interface entre les mathématiques appliquées/intelligence artificielle et les domaines académiques de l'analyse et de l'optimisation des structures.
Le poste est un contrat temporaire de 3 ans sous conditions CIFRE basé à Toulouse.
L'équipe d'Airbus qui accueille le doctorant est l'équipe ADA (Airframe Data Analytic), récemment créée, dont la mission est de soutenir le déploiement de l'analyse des données pour l'ensemble de la communauté des ingénieurs de la cellule. L'équipe agit en mode auto-organisé depuis sa création, grâce à une base solide de valeurs partagées (honnêteté, confiance, ouverture d'esprit, responsabilité...).
Le partenaire académique sera le laboratoire ""Institut Clément Ader"" à Toulouse.
Compétences détaillées
Formation académique/expérience
Diplôme d'ingénieur en mécanique, électricité, aérospatiale ou qualification équivalente.
Formation en mathématiques appliquées ou en analyse de données/intelligence artificielle.
Une bonne connaissance de l'optimisation mathématique serait un plus.
Une bonne connaissance du Deep Learning et des bibliothèques associées serait un plus.
Une première expérience dans le domaine de l'aéronautique serait un plus.
Une démonstration des activités de recherche passées serait un plus.
Compétences personnelles
Capacité à communiquer des sujets techniques de manière efficace et précise à des non-spécialistes.
Ouverture d'esprit aux nouvelles technologies et aux nouvelles méthodes de travail.
Désireux d'apprendre/appliquer des capacités avancées d'analyse de données.
Anglais avancé obligatoire
-
Job description in English
In the frame of its digitalization and continuous improvement journey, Airbus Operations SAS is proposing a PhD subject aiming at improving the way Airframe structural components are optimized.
The tools developed by AIRBUS in structure mathematical optimization have up to now be focussed on weight optimization with continuous variables in a deterministic constraints and are far to address the full industrial problematic.
To address cost and standardization objectives it is necessary to introduce multi-objective aspects and mixed variables (catalog approach already successfully experienced in a previous PhD). It is also necessary to take into account uncertainties that may occur along product maturation and potentially due to variation of requirements.
Three use-cases of growing complexity will be subsequently addressed to make the established methods able of solving a full problem at the right scale level: fuselage frame cleats, wing spars, full wing box.
These use-cases are composite oriented and will allow to investigate alternative technologies (double-double).
The problem formulation will be based on the mathematical optimization formalism but its resolution considering the multi-criteria, mixed variable and probabilistic context for large size problems will require the usage of recent progresses in artificial intelligence like deep reinforcement learning.
The objective of this PhD is to develop a holistic approach to automate the design of aeronautical structures considering;
Al criteria like weight, cost, standardisation, manufacturability, durability
All sources of uncertainties
This approach will support the “out-of-cycle” co-development phases while considering top programme requirements through multi-criteria formulations while protecting the design from variations of sensitive variables through management of uncertainties.
The proposed topic is at the interface between applied mathematics/artificial intelligence and structural analysis and optimization academic fields.
The position is a temporary 3 years contract under CIFRE conditions based in Toulouse. The Airbus team hosting the PhD student is the newly created Airframe Data Analytic (ADA) Team whose mission is to support the deployment of Data analytics for the whole Airframe engineering community. The team is acting in a self-organized mode since its creation enabled by a strong basis of shared values (Honesty, Trust, open-mindset, responsibility…).
The academic partner will be the “Institut Clément Ader” laboratory in Toulouse.
Detailed competences
Academic/experience background
Educated to Degree in mechanical, electrical, aerospace engineering or an equivalent qualification
Educated in applied mathematics or data analytics/artificial intelligence
A good knowledge of Mathematical Optimization would be a plus
A good knowledge of Deep Learning and associated libraries would be a plus
A first experience in the Airframe domain would be a plus
A demonstration of past research activities would be a plus
Personal competences
Ability to communicate technical subjects effectively and accurately to non-specialists
Open-mindset to new technologies and new ways of working
Eager to learn/apply advanced data analytics capabilities
English advanced is mandatory

This job requires an awareness of any potential compliance risks and a commitment to act with integrity, as the foundation for the Company’s success, reputation and sustainable growth.


By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application or future employment. This information will only be used by Airbus.

Airbus is committed to achieving workforce diversity and creating an inclusive working environment. We welcome all applications irrespective of social and cultural background, age, gender, disability, sexual orientation or religious belief.",https://fr.indeed.com/rc/clk?jk=22d3f6696b251bc2&fccid=2d0740e02e80cf22&vjs=3
Data Scientist F/H,Avisto,Aix-en-Provence (13),-,-,"Descriptif du poste:
Dans le cadre de nos activités, vous serez amené à intervenir auprès de nos clients en tant que consultant data scientist. Intégrer en assistance technique au sein des équipes clientes, vous devrez apporter votre expertise pour mener à bien leurs projets. Vous pourrez intervenir sur plusieurs sujets en parallèle.

Missions :

Développer des modèles de détection ou prédiction d'évènement de vie des clients bancairesDévelopper des modèles d'aide à la décision pour les conseillers bancaires.Assister les data engineerCréation d'information client nouvelle pour le métier/business par une approche Data ScienceParticiper à la mise en qualité des données
Profil recherché:
Compétences requise

Data science

EDAFeature engineering, Feature selectionSélection d'algo et entrainement de modèle sur données tabulairesExplicabilitéStatistiques/ProbaMise en oeuvre d'algorithme décrit dans la littératureNLP (conseillé mais pas indispensable)



Programmation

POO Python, Domain Driven DevelopmentTest unitairePackaging du code



Général/Communication

Esprit d'analyseCompréhension du besoin/Force de propositionCapacité de vulgarisation traduction de métrique Data Science en métrique métierRédaction de fiche de synthèse de résultatsAnglais lu pour la veille technologique



Technos

Fortement recommandées

Python, Scikit-Learn, Pandas, Seaborn, XGBoostJupyter Notebook/LabPySparkCondaSQLGit (Bitbucket)



Utiles

Keras, Spacy, SHAP (explicabilité)HiveHadoopPowerBIVisual Studio Code
Entreprise:
AViSTO est une société d'ingénierie dont la vocation est le développement de solutions logicielles, fondée et managée par des ingénieurs. Elle se spécialise dans la réalisation de projets complexes mettant en oeuvre des technologies Objet (Java/JEE, C++, C# .Net Core, Python, PHP), Web (Angular, ReactJS, VueJS) et Mobile (Android, iOS, multiplateforme).

A ce coeur de compétences, AViSTO a progressivement greffé des métiers complémentaires au développement logiciel, notamment le DevOps, l'assurance qualité, la data science et la cybersécurité.

Rejoindre AViSTO, c'est intégrer une communauté de spécialistes en informatique passionnés par leur métier et par les nouvelles technologies. Les projets menés sont ambitieux, dans des environnements où la haute technicité et l'innovation s'expriment pleinement, que ce soit dans nos centres de R&D ou directement dans les locaux de nos clients.

Vous aimez les défis techniques Vous avez envie d'évoluer dans une ambiance bienveillante D'intégrer une structure familiale avec les avantages d'un grand groupe Alors rencontrons-nous !",https://fr.indeed.com/rc/clk?jk=d7cbcecdd0027a11&fccid=f843045e8db6a245&vjs=3
Data analyste bac+4/5- SODA Montpellier - specialist -CDD - H/F,PwC,34000 Montpellier,-,-,"Line of Service
Assurance
Industry/Sector
Not Applicable
Specialism
Data and Analytics Technologies
Management Level
Specialist
Job Description & Summary
La Data n’est pas qu’un buzzword chez PwC. C’est une communauté, réunissant déjà 300 experts. Le vrai plus, c’est que cette communauté est sans frontières ! Nos collaborateurs travaillent au quotidien avec tous les métiers et avec notre réseau international. Et pour être au top de l’innovation, on a ce qui se fait de mieux en matière d’environnement de travail et d’outils technos : datalab, delta room, intelligence artificielle, machine learning…

Résultats ? Une activité multipliée par 2 en 3 ans (et ce n’est pas fini), une expertise reconnue et une position de leader en France.

Bienvenue au cœur du big bang !
Le Centre de Services Data Management :
Vous souhaitez monter en compétences sur le traitement de datas ? Et si vous rejoigniez le centre dédié à l’analyse de données/data management de PwC ?

L’équipe SODA basée à Montpellier est un Centre de Services Data Management d’une cinquantaine de collaborateurs en période de pic d’activité pour une moyenne de 40 à 45 collaborateurs, principalement composée Data Analystes et complétée par des développeurs de haut niveau.

Tout au long de l’année, SODA accompagne les équipes Audit PwC dans l’efficacité et la qualité des missions en proposant des services de traitement des données, de datavisualisation et de contrôles IT.

Ce que vous pouvez attendre de nous :
Au sein de nos équipes, vous êtes responsabilisé(e) dans la production des livrables et de différentes analyses de données.

Vous êtes ainsi amené(e) à travailler, selon votre maturité, ponctuellement sur des projets internes stratégiques en lien étroit avec les équipes de Data Assurance et d’Audit Transformation notamment ou encore pour des clients externes.

Votre rôle est d’intervenir sur un portefeuille de missions diversifiées :
Opérer les processus de production des livrables (analyse, spécification, développement, tests) en cohérence avec les outils et la méthodologie de notre centre.
Assurer le suivi opérationnel en interaction avec le responsable de mission.
Participer aux actions d’amélioration de la qualité de service, de la productivité, et de l’industrialisation des pratiques.
Participer à la montée en compétences des collaborateurs (formations internes, accompagnement)
Vous bénéficierez de formations dédiées pour entretenir et développer vos compétences techniques.
Ce que nous pouvons attendre de vous :
De formation Bac+2 à Bac+5 en informatique, statistiques et/ou mathématiques appliquées,
Si vous avez une appétence pour l’analyse de données ? On ne va pas se mentir c’est mieux !
Si vous avez à votre actif une expérience significative en développement et/ou analyse de données ou dans les métiers du chiffre (comptabilité / audit), c’est super !
Vous êtes rigoureux et fiable dans les travaux et les livrables que vous produisez,
Vous appréciez le travail d’équipe,
Vous disposez de réelles capacités d’organisation et d’autonomie dans le cadre de la gestion de plusieurs missions,
Doté(e) d’un bon relationnel, votre énergie et votre enthousiasme vous permettront de contribuer à améliorer la performance et la satisfaction de nos clients internes et externes,
Si vous maîtrisez une ou plusieurs des technologies suivantes : SQL, Alteryx, PowerBI, Tableau, ACL, VBA, C#,Python, R ou un des outils BI/Datavisualisation, c’est top !
Postes à pouvoir au sein de notre bureau à Montpellier dès septembre 2021 en CDI.
Education (if blank, degree and/or field of study not specified)
Degrees/Field of Study required:
Degrees/Field of Study preferred:
Certifications (if blank, certifications not specified)
Required Skills
Optional Skills
Desired Languages (If blank, desired languages not specified)
Travel Requirements
Not Specified
Available for Work Visa Sponsorship?
Yes
Government Clearance Required?
No
Job Posting End Date",https://fr.indeed.com/rc/clk?jk=365883988510a0b3&fccid=5e964c4afc56b180&vjs=3
Junior Data Scientist - 1 year apprenticeship - January 2022,L'Oreal,Clichy (92),-,-,"This position is responsible for working with the existing team to design, code, and implement new data products, support existing models, and support Developers and Business needs on our Microsoft Azure and Google Cloud Platform technology stack.
The Data Scientist will interact within a core team, occasionally interfacing with other business stakeholders both internally and externally.
The Data Scientist is a member of the Digital Services Factory team.
Exemple of products to build or maintain (non exhaustive):
Routine Recommendation Generation
Clustering of Consumer Profiles
The Data Scientist apprentice will also learnBuilding Models and functionalities in the Azure Data Stack (Data Lake, Cosmos DB, Data Factory, Databricks, Azure ML, Service Bus…) but also in the Google Cloud Platform (Big Query).Crawling/Scraping of data on public data.Scaling and templating data use cases to integrate in a global data platform (multi-zones, multi-services).Working with internal/external partners to enable them using our Models in an agile environment.Working with the Data Architect and Service Managers to translate functional specifications into technical specifications.
What makes this internship unique ?
Support the build of new innovative Digital Consumer Services for our brands.Direct impact on new L'Oréal Business ModelsLeverage existing Consumer Insight data stack on Cloud platforms.",https://fr.indeed.com/rc/clk?jk=7d6ef8dfb8adb25b&fccid=ec8a0bd60be9a6f5&vjs=3
Data Analyst H/F,Acii,37000 Tours, -  CDI,35 000 € - 45 000 € par an,"Nous recrutons !ACII est une ESN et PME régionale et « fière de l'être ! », intervenant sur les parties études et développement. Chez nous, on dit ce que l'on fait et on fait ce que l’on dit !Une société participative et collaborative avec une démarche RSE, un esprit « corporate » (récompensé par des primes nombreuses et variées) et une attention particulière portée à l'équilibre vie pro/perso.Vous restez maître de votre parcours professionnel car nous tenons compte de vos appétences et de vos souhaits d'évolution.L'important pour nous est que votre métier soit une véritable passion.S'il manque une compétence à votre arc, ACII - centre de formation agréé - vous accompagnera soit par une formation interne avec l'un de ses experts, soit par une formation externe et cela jusqu'à la certification.Nous veillons à ce que vous vous épanouissiez sur vos projets et si ce n'est plus le cas, l'ensemble de l'équipe sera à votre écoute et s'attachera à vous en proposer de nouveaux.Quoi qu'il en soit, nous vous garantissons une proximité, une écoute et un accompagnement quotidien.En clair, la transparence est très importante pour nous car nous nous inscrivons dans une démarche collaborative où vous n’êtes pas un numéro !Description du poste et MissionsDans le cadre d'un renforcement de l'équipe, nous recrutons pour l'un de nos clients basé à Tours, un Data Analyste H/F.Vous travaillez au sein d'une équipe Scrum, en collaboration les équipes de développementsMissions :Venir en appui des équipes en place pour traiter les demandes d'extraction de données et/ou d'évolutions de traitements existants formulées par les diverses directions métiersAnalyse de la demande préalablement à son traitementDévelopper Les requêtes en SQL et/ou via des programmes SASConcevoir les livrables qui sont destinés à toutes les fonctions de l'entreprise. Ils peuvent nécessiter la mise en œuvre de contrôles techniques et fonctionnels ainsi que des échanges avec les métiersProfil recherchéDe formation Bac + 3 à bac + 5Première exp idéalement ciblée sur l'analyse de la donnée et de sa restitution.Fort esprit d'analyse, de synthèse et compréhension des enjeux métiers.Impliqué sur la rigueur des livrables et de leurs contenus.Maîtrise des bases de données et des langages SQLMaîtrise Outil SASType d'emploi : CDISalaire : 35 000,00€ à 45 000,00€ par anAvantages :Participation au TransportRTTTitre-restaurantHoraires :Du Lundi au VendrediPériodes de Travail de 8 HeuresTravail en journéeRémunération supplémentaire :PrimesTélétravail:Non",https://fr.indeed.com/company/Acii/jobs/Data-Analyst-e3744020fff438b9?fccid=afaabd11e62c2391&vjs=3
Data Analyste,Acii,Tours (37),-,-,"De formation Bac + 3 à bac + 5
Première exp idéalement ciblée sur l'analyse de la donnée et de sa restitution.Fort esprit d'analyse, de synthèse et compréhension des enjeux métiers.Impliqué sur la rigueur des livrables et de leurs contenus.Maîtrise des bases de données et des langages SQLMaîtrise Outil SAS
Les responsabilités
Venir en appui des équipes en place pour traiter les demandes d'extraction de données et/ou d'évolutions de traitements existants formulées par les diverses directions métiers
Analyse de la demande préalablement à son traitement
Développer Les requêtes en SQL et/ou via des programmes SAS
Concevoir les livrables qui sont destinés à toutes les fonctions de l'entreprise. Ils peuvent nécessiter la mise en œuvre de contrôles techniques et fonctionnels ainsi que des échanges avec les métiers",https://fr.indeed.com/rc/clk?jk=5c94105a99d08d2b&fccid=5a1fa5b85d12d636&vjs=3
Data Scientist (H/F) | POEI,Datascientest,92800 Puteaux,CDI,-,"Data Scientist | POEI Notre offre POEI : Dans le cadre d’une POEI, 20 places sont disponibles pour suivre notre formation Data Scientist, entièrement financée par Pôle Emploi, afin d’intégrer une des entreprises partenaires de JEMS Groupe !En tant que véritable Data Scientist certifié à la suite de votre formation chez Datascientest, vous pourrez intégrer les équipes des meilleurs partenaires experts en Data de JEMS Groupe !Votre côté talentueux et votre formation chez Datascientest joueront un rôle déterminant dans l’exploitation des dernières technologies et la mise au point de solutions innovantes !Mais qu'est-ce que la POEI ?La Préparation Opérationnelle à l’Emploi Individuelle, permet aux demandeurs d’emploi, inscrits à Pôle Emploi de suivre une formation de préparation à une prise de poste ! Cette formation sera financée par Pôle Emploi et débouchera sur un contrat CDD ou CDI.Vous l'avez donc compris ! Avant le début de votre formation chez Datascientest, JEMS Groupe transmettra votre incroyable CV à son réseau partenaires, afin de vous assurer une promesse d’embauche pour un CDI !La formation de Data Scientist : Avant de débuter votre formation vous disposerez d’une promesse d’embauche !Vous apprendrez à étudier, analyser les données, élaborer des modèles prédictifs et modéliser les résultats d’analyse,Vous serez également expert en déploiement de modèles de Machine Learning pour une mise en production, et en création des pipelines de traitement de la data en streaming,Profil recherché : Vous êtes inscrit(e) chez Pôle Emploi,Issu(e) d’un parcours scientifique,Avec une expérience significative dans le développement,Vous maitrisez un langage objet type Java, Python, C++ …Vous êtes peut être le/la candidat(e) idéal(e) !N’attendez plus et obtenez une promesse d’embauche avant le début de la formation !Date de début prévue : 11/10/2021Type d'emploi : CDIAvantages :Participation au TransportHoraires :Travail en journéeRémunération supplémentaire :Primes",https://fr.indeed.com/company/Datascientest/jobs/Data-Scientist-Poei-fc1282d38219f4c0?fccid=8456801a76f717b5&vjs=3
Data Scientist,Ysance,92300 Levallois-Perret,-,-,"Description de l'entrepriseYSANCE tire le meilleur des technologies Cloud et des algorithmes pour impacter la performance business, en développant la culture, les compétences et l’excellence des pratiques data au quotidien.Forte de deux tribus très complémentaires, Tech4Data et Data4Business, les équipes d’Ysance accompagnent les entreprises (Décideurs, Métiers, IT) dans le chemin vers une exploitation quotidienne et vertueuse de la Data.Tech4Data: ✔️ Data Architecture (Cloud Data, Modeling, Data Mesh, Gouvernance, Data Quality)✔️ Data Engineering (GCP, AWS, Azure, Snowflake)✔️ Data Integration (Talend, Matillion, ESB, Data Quality)Data4Business: ✔️ Data Science (AutoML, ML/DL, R, Python, Dataiku)✔️ Data Analytics (Tableau Software, PowerBI, Looker, Qlik)✔️ Business Analytics (Accompagner des métiers pour une valorisation quotidienne de leurs Data).Nous avons également développé des offres autour du Référentiel Client Unique (RCU), du périmètre e-RFM et du Customer Analytics.Dans le cadre de notre développement et de nos projets, nous recherchons de nouveaux talents passionnés comme nous par la Data.✔️ Notre valeur ajoutée ?Une forte expertise technique autour de la Data qui repose sur nos équipes et qui est renforcée par de nombreux partenariats avec les éditeurs dans le domaine du Big Data & Analytics.✔️ Pourquoi nous rejoindre ?Une forte culture Data, des clients de renoms dans des secteurs variés, une approche orientée autour du besoin client afin de répondre au plus près de leurs enjeux.Le Groupe Devoteam oeuvre pour l'égalité des chances, pour la promotion de ses collaboratrices et de ses collaborateurs au mérite et lutte activement contre toute forme de discrimination. Nous sommes persuadés que la diversité contribue à la créativité, au dynamisme et à l'excellence de notre organisation. Tous nos postes sont ouverts aux personnes en situation de handicapDescription du posteEn tant que Data Scientist, vous contribuerez à la réalisation de projets technologiques en data science et Intelligence Artificielle.Votre mission consistera à répondre à un besoin métier grâce à la data science, de bout en bout : concevoir, développer, tester et industrialiser.Vous serez impliqué(e) dans la mise en place de modèles de Machine Learning pour développer des cas d’usage clients variés : allant du marketing prédictif (segmentation clients, scoring, recommandation de produits ou détection de fraude) à la reconnaissance d’images (deep learning), en passant par le traitement naturel du langage (NLP).Vous interviendrez, en étroite collaboration avec les Data Engineers, à l’industrialisation et la mise en production des modèles et des pipelines de transformation de données développés,Vous serez amené.e à accompagner nos clients dans la résolution de leurs problématiques data. A cet égard, vous êtes capable de vulgariser des concepts complexes de data science, d’évangéliser et de partager vos connaissances.Garant de la connaissance métier à travers l’appropriation des enjeux et des problématiques opérationnelles, votre expertise technique vous permettra d’être force de proposition dans la mise en place de nouveaux cas d’usage client.Environnement technique : Machine Learning, NLP, Deep Learning, Python, R, SQL, Hive, Spark, Google Cloud Platform, AWS, Azure, etc.QualificationsIssu(e) d’une formation supérieure, BAC+5 (diplômé(e) d’une école d’ingénieurs, titulaire d’un doctorat ou d’un master spécialisé) , avec une expérience professionnelle d’au moins 3 ans en data science.Vous connaissez les langages de programmation (Python, R, SQL, SAS, ...) et les bases de données (SQL, NoSQL).Une expérience pratique de l'écosystème Big Data (Hadoop, Hive, …) et de l’utilisation d’outils d’informatique distribuée (Spark/PySpark) serait appréciée. En outre, vous avez déjà réalisé un projet (académique ou professionnel) en NLP ou en deep learning.La connaissance d'une des plateformes cloud (AWS, AZURE, GCP) serait un plus.Doté(e) d'un très bon relationnel, passionné(e) par la data, vous faites preuve d'une capacité d'abstraction et de prise de recul. Vos qualités rédactionnelles, votre orientation client et votre rigueur seront les clés de votre réussite pour ce poste.Location: 73 Rue Anatole France, 92300 Levallois-PerretType d'emploi : Temps pleinWork Location: Multiple Locations",https://fr.indeed.com/company/Ysance/jobs/Data-Scientist-ec33d24352362d5e?fccid=ec7d969fad906ade&vjs=3
Data Scientist,Cafeyn,75009 Paris 9e,-,-,"Your responsibilities
As a Data Scientist you’ll be part of the awesome Data team, consisting of Data Scientists, Data Analysis and Data Engineers. You’ll work closely with the Lead Data Scientist. Although the Data Scientist role is a “horizontal” role, at this moment the main interaction is with the Experience squad, focussed on the customer experience in the product.
Your missions
Data Science is part of the Cafeyn product and delivers, or contributes to, product features based on recommendations and personalization. The goals of these features are to increase satisfaction and engagement, but overall to assist our readers and listeners in getting to the right content. As a Data Scientist you are responsible for

the pipelines, models and algorithms to understand the textual content you get from publishers, and to expand the existing article profiles.
the pipelines, models and algorithms to understand the readers and listeners, and to expand the existing user profiles
implementing and maintaining the algorithms and systems that drive content recommendations
designing, implementing and executing experiments to improve company KPIs
keeping up to date with the state of the art in Natural Language Processing
Who are we looking for?
You are at the right place if you have
MSc or comparable degree in Data Science, Computer Science, Computational Linguistics, or an adjacent field.
At least 3 years’ experience as a Data Scientist, Machine Learning Engineer or similar role
Proficiency in Python engineering
Understanding of NLP techniques for text representation, semantic extraction techniques, data structures and modelling
At least 2 years’ experience working with NLP technologies (text representation, semantic extraction techniques, data structures and modelling)
Ability to write and maintain robust and testable code
It would be the perfect fit if you have
You speak French & English fluently, a pre in Dutch would be a nice to have
Strong communication and technical skills that allow you to work effectively within the role and in the team
Well-organised and a self-starter, having the ability to work independently or as part of a team
Problem solving and analytical thinking skills with the ability to approach problems logically and systematically
Understands the business implications of decisions, the capabilities and limitations of technology",https://fr.indeed.com/rc/clk?jk=032e0283176241b5&fccid=39a671a08e0b25f4&vjs=3
