title,company,city,contract_type,salary,description
Data Analyst H/F,Bouygues Telecom,92360 Meudon,Temps partiel,-,"Au sein de la Direction du Développement Commercial de Bouygues Telecom, l'équipe PRM est à la recherche de son/sa futur.e DATA analyste.
L'équipe PRM est en charge de la gestion de la base de prospects de Bouygues Telecom. Elle contribue au développement commercial de Bouygues Telecom via des campagnes Télévente, Email, SMS, Courrier à destination des prospects.
En tant que Data Analyst, vos principales missions seront :Réaliser des analyses adhoc des campagnes de prospectionMise en place de KPI de suivi sur la base PRMAider les chargés de campagne pour la réalisation de certains ciblagesContribuer à l’optimisation des règles métier de la base PRM.
Ces missions sont susceptibles d’évoluer en fonction des priorités du moment.

Détail du profil
Vous êtes étudiant(e) en école de commerce, d'ingénieur ou équivalent et vous cherchez une alternance de Master 2.
Vous avez déjà au moins une première expérience en entreprise.
Les chiffres sont vos amis et vous souhaitez travailler dans une direction commerciale.
Vous savez travailler en équipe . D'ailleurs l'équipe compte sur vous pour l'aider à optimiser ses performances !
Vous connaissez le langage SQL et maitrisez un outil de data visualisation ( idéalement Tableau).

Contrat

Stage
Durée du contrat

sup à 12 mois
Temps de travail

Temps partiel
Localisation du poste
Localisation du poste

France, Ile-de-France, Hauts-de-Seine (92)
Code postal

92260
Ville

13 AVENUE DU MARECHAL JUIN 92360 MEUDON"
DATA SCIENTIST F/H,GROUPE SEB,Lyon 1er (69),-,-,"Descriptif du poste:
La Direction des Systèmes d'Information est en constante évolution pour être un acteur majeur de la transformation digitale du Groupe.

Le domaine BI & Data management a été créé dans cette optique : spécialisé dans la conception et la mise en œuvre de solutions technologiques variées (architectures Big Data, Cloud…), il accompagne les métiers du marketing, de la recherche et de l'industrie sur de nombreux projets Data : Data Marketing, E-commerce (Direct To Consumer), Produits connectés (IOT), Industrie du Futur…

Une nouvelle activité est créée au sein du domaine pour accompagner les enjeux du business des machines à café professionnelles.

En tant que DATA SCIENTIST vous accompagnez nos Data Engineers, Data Scientists, Data Stewards et DataViz Engineers pour mettre en œuvre des solutions innovantes dans un écosystème en constante évolution (DataLake, DataLab…).

MISSION :

Votre mission est fortement orientée vers les activités en lien avec la plateforme digitale supportant le business des machines à café professionnelles (télémétrie, datalake, analytics), avec une transversalité permettant d'être en interface avec une multiplicité d'entités :

Recherche et Marketing stratégique autour de nos solutions digitales (Applications mobiles, IOT, Web…)
ERP
Retail (données transactionnelles magasins…)
Vos responsabilités consistent à :

Identifier et analyser les besoins métiers
Exploiter la donnée pour proposer des solutions à des problématiques autour de nos données IOT issues des machines à café professionnelles :
Analyses pour améliorer la connaissance des usages
Services digitaux data-driven
Maintenance prédictive
Analyses de profitabilité
Assurer la gestion des projets qui vous sont confiés en prévoyant une forte intégration de l'équipe dès le début du projet, afin de se projeter sur l'industrialisation des solutions proposées.
Profil recherché:
PROFIL :

De formation supérieure en informatique type école d'ingénieur, doctorat, ou équivalent, avec une spécialisation en Data Science ou statistiques/Data mining,

Vous présentez une solide expérience d'au moins 5 ans dans le domaine du Marketing Client Vous maitrisez les modélisations et méthodes de machine learning :

Modèles prédictifs supervisés
Moteur de recommendation
Segmentations comportementales, scoring…
NLP
Text mining
Vous maitrisez les languages R et Python (Pandas, Scikit-Learn…) et êtes capable d'avoir des échanges techniques avec les Data Engineers

Une connaissance des environnement technologiques Big Data (Hadoop, Spark, Scala, Cloud) est un plus.

Une première expérience sur la plateforme de Data Science Dataiku serait appréciée.

Force de proposition, curiosité et innovation sont autant de qualités que l'on vous attribue, vous aimez le travail en équipe et savez partager vos connaissances.

Passionné(e) des sujets Data, vous aimez communiquer et vulgariser afin de restituer et expliquer vos solutions à vos partenaires métier, mais aussi pour promouvoir la Data Science et contribuer à l'acculturation Data vers un public plus large.

La maitrise de l'anglais est nécessaire compte tenu du périmètre du poste
Entreprise:
Tefal, T-Fal, Krups, Lagostina, Rowenta, Moulinex, SUPOR, Seb, Calor, WMF, Arno, Emsa, All-Clad… autant de marques qui font partie du quotidien de millions de consommateurs dans plus de 150 pays. Le Groupe SEB (€6,1 milliards de CA - 33 000 collaborateurs) a su s'imposer comme la référence mondiale du petit équipement domestique grâce à une stratégie de généraliste, la puissance et la complémentarité de ses marques, sa dynamique d'innovation, son développement international et un outil industriel performant."
Ingénieur Data Science/ Statistiques F/H,CVO-Europe,Lyon (69),CDI,-,"France - Sud Est
CVO/LY/ING/LOZ050
Fort d’une équipe pluridisciplinaire, CVO-EUROPE accompagne, depuis 1995, les entreprises des Sciences de la Vie sur toutes les étapes (conception, validation, opération, transformation digitale) de leurs activités critiques pouvant impacter la qualité du produit, l’intégrité des données et la santé du patient, en garantissant la conformité de leurs systèmes, équipements, process et données.


A travers une offre de services complète (prestations, centre de services partagés, audit, conseil et ingénierie pédagogique), le groupe CVO-EUROPE s’engage à apporter à ses clients des solutions performantes et innovantes, tout en restant fidèle aux valeurs humaines qui le caractérisent depuis sa création.
Pour compléter nos équipes, nous recherchons un(e) :

Ingénieur Data Science/ Statistiques F/H
CDI
Missions
Nous recherchons, pour notre Client de l'Industrie Pharmaceutique, un Ingénieur Statisticien F/F pour apporter aux services DATA SCIENCE un support à la réalisation d'analyses statistiques.

D'un point de vue technique, les études à réaliser concernent :

la préparation (fusion, jointure,...) de bases de données dans certains cas ;
la réalisation d'une vingtaine d'études statistiques simples (cartes de contrôle, calculs de capabilités, calcul de risques OOS, qualification ou validation de méthodes, tests inférentiels ...) :
la réalisation d'une vingtaine d'études statistiques plus complexes (analyses de variance, modélisations, analyses multivariées de type ACP ou PLS, plans d'expérience, ...) ;
la réalisation de scripts sur les logiciels SAS, JMP, EXCEL pour automatiser des analyses, par exemple pour les études de validation ou de suivi SPC des procédés ;
Être support dans le déploiement d'outils internes liés aux méthodes analytiques.
Profil
Vous justifiez d'une expertise et de compétences dans le domaine statistique.
Vous connaissez les méthodes de statistiques inférentielles (estimations, tests, ...), les méthodes et suivi des procédés.
Vous savez utiliser des logiciels statistiques (SAS entre autres).
Rigoureux(se), autonome et organisé(e), vos qualités relationnelles vous permettent de travailler efficacement.

Nous vous offrons :

La possibilité d’évoluer au sein d’un groupe à taille humaine mais à dimension Internationale, qui vous propose des projets à votre mesure ;
Un management de proximité et une culture d’entreprise forte et orientée vers l’épanouissement professionnel et personnel ;
De nombreuses possibilités d’évolution ;
Des formations continues et une gestion de carrière personnelle.

Si vous aussi vous souhaitez bénéficier d’une carrière épanouissante, évolutive et riche d’expériences variées, postulez et rejoignez l’équipe EFOR-CVO !
Date de publication : 13/10/2021"
Data Scientist Risques - - Paris F/H,CREDIT DU NORD,Paris 8e (75),-,-,"Descriptif du poste:
Au sein de la Direction Data et Expérience Client, vous intégrerez l'équipe Data Intelligence.

Vos interventions et domaines d'application seront transverses à l'ensemble des directions du groupe Crédit du Nord, notamment la Direction Générale et la Direction des Risques Groupe. Les études serviront une stratégie orientée vers la maîtrise du risque bancaire.

Vous travaillerez en étroite collaboration avec des équipes métiers (business owner), IT et data pour développer des outils innovants au service du risque de crédit et de la connaissance fine du client sur tous les marchés.


Vos principales missions seront de :

Enrichir ou développer des modèles en proposant de nouvelles approches méthodologiques (algorithme, open data)
Promouvoir la valeur des données de risques dans les outils orientés business
Répondre aux attentes des régulateurs (IGAD, MRM) sur nos projets (clôture des préconisations, rédaction de livrables auditables, …)
Réaliser des études risques (suivi des RWA, des classes de risques, des taux de défaut, …)
Restituer et porter les réalisations de l'équipe lors de comités projets et DG
Contribuer aux études stratégiques, notamment liées à la trajectoire de rapprochement des enseignes retail France
Profil recherché:
Vous avez une expérience similaire minimum de 3 ans dans le milieu de la banque/assurance.

Vous avez un niveau BAC + 5 (Ecoles d'ingénieurs, M2 scientifique)

Soft skills : orientation résultat, travail en équipe, curiosité, pédagogie, intuition, rigueur, orientation résultat, autonomie, réactivité, qualité oratoire
Hard skills : statistiques, coding, aptitude à rédiger

Compétences spécifiques souhaitées pour ce poste :

_ Domaines d'expertises : Data Science

_Outils maitrisés :

Open source : R (dplyR, sparklyr), Python (PySpark), Spark, H2O, HIE, Jupyter Editeurs : SAS, R Studio, Dataiku Data Visualisation : R Shiny, R Markdown, ggplt2, Leaflet Plateformes Big Data (HDFS) et SAS (Unix)

_Langues étrangéres : Anglais
Entreprise:
Banque de référence quant à la qualité de la relation client, le Groupe Crédit du Nord est constitué de 8 banques régionales : les Banques Courtois, Kolb, Nuger, Laydernier, Rhône-Alpes, Tarneaud, Société Marseillaise de Crédit et Crédit du Nord, ainsi que d'une société de Bourse, Gilbert Dupont.

Les 9 000 collaborateurs du Groupe, et de son réseau de 900 agences, sont au service de plus de 2,3 millions de clients Particuliers, 210 000 Professionnels et 48 000 Entreprises.

La satisfaction client est au cœur de notre culture d'entreprise et de notre stratégie.

Les valeurs fondamentales de notre Groupe : la proximité, liée à notre fort ancrage régional, et l'exigence en termes de qualité de service."
Data Analyst H/F,LCL,94811 Villejuif,"Apprentissage, Contrat pro",-,"Type de métier

Types de métiers Crédit Agricole S.A. - Marketing et Communication
Intitulé du poste

Data Analyst H/F
Type de contrat

Alternance / Apprentissage
Poste avec management
Non
Cadre / Non Cadre

Non cadre
Missions

La direction « Données & Connaissance Client » au sein de la Direction Marchés et Clients a comme objectif l’excellence relationnelle client. La maitrise de l’écosystème DATA et l’analyse des comportement clients, permet d'apporter des réponses opérationnelles aux problématiques des directions ""clientes"" (Marketing & Distribution) pour une meilleure gestion de la relation client et des performances commerciales.
LCL dispose d'un l’écosystème CRM et Data complet avec un outil de gestion de campagnes UNICA, une plate-forme data/Big data performante et des outils d’analyses statistiques et de datascience.
Au sein de la « Direction Données et Connaissance Clients », vous intégrerez le pôle « DATA Marketing Campaigns and Optimisations » composé de 7 Data Analysts et d’un Responsable DATA Marketing évoluant dans un environnement dynamique créatif et stimulant.
Vous aurez pour principales missions de :
 1. Réaliser, optimiser et automatiser les ciblages des campagnes marketing, à but commercial ou relationnel, définies par les équipes marketing, dans l’outil de gestion de campagne UNICA.
Le tout sur l’ensemble des canaux de communications : mailing, e-mailing, bannières ciblées, push-notification, listes d’opportunité de contacts client ; et tous les marchés : Particuliers / Professionnels / Banque Privée
Ces missions vous permettront de développer les compétences suivantes :
Avoir une bonne connaissance de l’ensemble des données disponibles (dont les scores) et savoir bien les manipuler (faire le lien entre les différentes tables/notions)
Implémenter les différentes campagnes dans l’outil gestion de campagne (Unica) selon le cahier des charges spécifique à chaque action et bien faire les contrôles de cohérence nécessaires avant l’envoi
Avoir des échanges réguliers avec l’ensemble des interlocuteurs : chefs de campagnes, chefs de produits ainsi que les équipes IT
Etre force de proposition afin de déterminer les meilleures cibles en fonction des objectifs marketing définis
 2. Analyser les résultats des actions menées afin d’en faire des préconisations pour les futures actions marketing et partager l’analyse avec les chefs de produits marketing
A chaque nouvelle campagne, challenger les résultats des précédentes pour vérifier l’opportunité de la créer
Synthétiser et restituer les analyses en mettant en avant les principaux résultats et les préconisations
 3. Répondre à des demandes chiffrées faites par les différents services de LCL (marketing notamment) : requêtes, comptages, profil type, tableaux de bord, …
 4. Contribuer aux projets de la direction et favoriser l’innovation via l’amélioration constante des outils, le développement de nouvelles données / campagnes et une bonne communication au sein de la direction.
Vous confirmerez ou apprendrez à maitriser les outils suivants :
UNICA, TERADATA, SAS, Excel, Accoustic
Tous nos postes sont ouverts aux personnes en situation de handicap.


Localisation du poste
Zone géographique

Europe, France, Ile-de-France, 94 - Val-De-Marne
Ville

10 place Oscar Niemeyer 94811 VILLEJUIF Cedex

Critères candidat
Niveau d'études minimum

Bac + 3 / L3
Formation / Spécialisation

DATA Science, MIAGE, DATA Marketing…

Niveau d'expérience minimum

0 - 2 ans
Expérience

DATA (SQL, SAS, Teradata, Python, autres langages)
Compétences dans le domaine du marketing seraient un +

Outils informatiques

UNICA, Salesforce, Excel, Teradata, SQL Server"
Chargé(e) d’analyse et d’expertise / Data Engineer / Data Scientist F/H,Agence nationale de santé publique,Saint-Maurice (94),-,-,"Descriptif du poste:
Affectation : Direction Appui, Traitements et Analyses des données (DATA) / Unité Applications, BIg data et Surveillance Syndromique (ABISS)
Activités :
Sous l’autorité du responsable d’unité et en lien étroit avec les équipes projet SI-DEP et VAC-SI et la Direction des systèmes d’information, les activités du chargé d’analyse et d’expertise F/H seront notamment :
Assurer la gestion, le traitement et la restitution des données de SI-DEP et de vaccination :
Accompagner le système de gestion des données et des pipelines
Organiser et préparer les données
Explorer et proposer les moyens technologiques pour améliorer la qualité et la fiabilité des données
Identifier les possibilités d'acquisition et d’intégration de nouvelles données
Construire les indicateurs de surveillance (définition, implémentation, interprétation) en R, Python, Jupyter Notebook
Réaliser des analyses statistiques
- Développer des outils pour la restitution des indicateurs : mise à disposition internes et externes (exports, API), outils de visualisation (applications R-Shiny – Dash - Bokeh) et de reporting (RMarkdown)
Rédiger des notes méthodologiques pour décrire les traitements réalisés
Intervenir en soutien sur la gestion, le traitement, l’analyse et la restitution d’autres bases de données gérées par la DATA, notamment pour la surveillance de l’épidémie de COVID-19
Contribuer à la réflexion sur la modernisation des outils de data science pour la préparation, l’exploration, le stockage et la restitution des données
Contribuer à la valorisation des résultats en lien avec les épidémiologistes et les statisticiens :
Communiquer des résultats
Rédiger des bulletins, rapports d’études et d’articles scientifiques
La personne recrutée participera à la continuité d’activité au travers des permanences hebdomadaires et des astreintes de week-end sur le périmètre de ses activités dans le cadre de l’épidémie de COVID-19.
Profil recherché:
Bac +5 dans le domaine du traitement des données, de l’informatique ou des statistiques/data sciences exigé ;
Bac +8 souhaité.
Aptitudes et compétences :
Maîtrise de la programmation sous R et/ou Python dans des environnements virtuels (conda)
Connaissances en bases de données relationnelles et en programmation SQL (Postrgre).
Connaissance de l’environnement LINUX (Centos/Ubuntu).
Connaissance d’outils d’ordonnancement (Air Flow / Crontab)
Feature engineering / Data cleaning – cleansing
Une expérience dans les outils de data visualisation serait un plus.
Il est attendu pour ce poste :
Grandes compétences numériques et analytiques
Rigueur scientifique
Curiosité intellectuelle, esprit d’initiative et autonomie
Qualités relationnelles, aptitudes élevées à la discussion et au travail d’équipe
Entreprise:
Santé publique France est l’agence nationale de santé publique française. Etablissement public de l’Etat sous tutelle du ministre chargé de la santé créé par l’ordonnance 2016-246 du 15 avril 2016, elle intervient au service de la santé des populations. Agence scientifique et d’expertise du champ sanitaire, elle a pour missions :
1° L'observation épidémiologique et la surveillance de l'état de santé des populations ;

2° La veille sur les risques sanitaires menaçant les populations ;

3° La promotion de la santé et la réduction des risques pour la santé ;

4° Le développement de la prévention et de l'éducation pour la santé ;

5° La préparation et la réponse aux menaces, alertes et crises sanitaires ;

6° Le lancement de l'alerte sanitaire.
Santé publique France est dirigée par une directrice générale, assistée d’une directrice générale adjointe, d’une directrice scientifique et d’une directrice de cabinet. L’Agence est organisée autour de quatre conseils (Conseil d’Administration, Conseil scientifique, Comité d’Ethique et de Déontologie et Comité d’orientation et de dialogue), de directions scientifiques et transversales, et de directions assurant le support et le soutien à l’activité. L’Agence dispose d’implantations régionales (Cellules régionales) auprès des agences régionales de la santé. Son programme de travail, arrêté par son Conseil d’administration, s’articule autour de 6 grands enjeux : anticipation, préparation et réponse aux menaces de santé publique, dont les épidémies ; numérique en santé publique ; Santé environnementale, changement climatique, environnements de travail ; fardeau des maladies et de leurs déterminants, efficacité des interventions et retour sur investissement de la prévention ; Stratégie de prévention, marketing social et approche par populations ; Inégalités sociales, vulnérabilités territoriales."
Data Analyst (H/F),MGEN,Paris (75),-,-,"Présentation du Groupe
Le groupe MGEN accompagne 4 millions de personnes dans tous les domaines de la santé : assurance maladie obligatoire, complémentaire, prévoyance, autonomie, prévention et soins.

Acteur mutualiste engagé, il emploie 10 000 salariés dans plus de 200 sites, dont 55 services de soins et d’accompagnement.

MGEN s'engage pour la Diversité et le Handicap : du recrutement à l'évolution professionnelle, nous garantissons l'égalité des chances à tous nos collaborateurs.
Présentation du Site ou de la Direction
Au sein de la Direction Marketing, vous rejoignez le pôle Marketing Adhérent et Data qui est organisé en 3 grands pôles :

Connaissance Adhérent et Marché
Parcours et Expérience Adhérent
Marketing Data

Rattaché(e) au Responsable Marketing Data, vos missions au sein du pôle Marketing DATA.
Missions

Accompagner le Pôle Marketing Opérationnel dans le ciblage et le suivi des campagnes marketing :
Analyser les comportements des adhérents/prospects permettant de dégager des insights afin de nourrir la réflexion sur l’évolution des campagnes ;
Réaliser les ciblages et les extractions de données adaptées et qualifiées en opérant les contrôles de cohérence nécessaire pour répondre aux demandes internes et externes ;
Préconiser les paramétrages des campagnes dans nos outils de campagne (Selligent) et de CRM (Péga) générant les données de suivi des campagnes ;
Réaliser le suivi et le bilan des campagnes ;
Accompagner la direction marketing sur leur appropriation des reportings / tableaux de bord (interprétation des données, définition des KPI,….).
Mener les analyses de données ponctuelles et spécifiques à destination de la Direction Marketing,
Mettre en œuvre les suivis et les reportings d'activité (maquettage et rédaction Expression de Besoin, implémentation) en collaboration avec les services métier,
Enrichir et améliorer la qualité de nos données en remontant les anomalies rencontrées et en participant à des travaux pour la fiabilisation des données,
Participer aux projets Data MGEN (automatisation des campagnes marketing, projet BI-Dataviz,…)

Profil

De formation supérieure, de type écoles d’ingénieurs en statistiques et traitement des données,
Vous avez une expérience réussie de 2 ans minimum sur un poste similaire,
Vous maîtrisez les outils et méthodes liés aux bases de données relationnelles et aux techniques d’analyses statistiques,
Vous maitrisez les langages SQL et SAS ainsi que les outils de bureautiques (fonctions avancées d’Excel, PowerPoint…),
Vous maitrisez les problématiques CRM et la mise en place de campagnes marketing (ciblages, reporting, suivi…). Vous maitrisez les outils CRM et de campagnes,
Vous êtes force de proposition pour apporter des méthodes d’amélioration continue et des axes de développement des indicateurs de reportings et bilans des campagnes marketing,
Vous avez la faculté à évoluer dans un environnement en pleine transformation,
La connaissance de l’outil de campagne Selligent (SIM), de Dataiku et du langage Python seraient un plus.
Vous êtes autonome et curieux(se).
Vous faites preuve de réactivité
Vous savez organiser pour respecter les priorités et les délais,

Votre sens de l'analyse, votre esprit de synthèse, votre rigueur, votre aisance relationnelle et votre goût pour le travail en équipe vous permettront de réussir dans le poste
Job Reference: S00100934"
Data Analyst H/F,INFORMATIS,Châtellerault (86)," -  Temps plein, CDI",35 000 € - 40 000 € par an,"Dans le cadre d’un important projet avec une entreprise grand compte, nous recherchons un Data Analyst.Intégré à l’équipe It et encadré par son responsable, vous participez à la mise en place des solutions nécessaires à l’analyse des données du groupe.Force de proposition, vous apportez vos compétences nécessaires au bon déroulement du projet et participez au choix technologiques à mettre en œuvre.Compétences requises :De formation informatique, vous avez une expérience de 3 ans minimums à un poste de Data Analyst.Statut : CadreType d'emploi : Temps plein, CDISalaire : 35 000,00€ à 40 000,00€ par an"
Data Scientist/Data Engineer - Join our R&D team!,Ericsson,Paris (75),-,-,"As the tech firm that created the mobile world, and with more than 54,000 patents to our name, we’ve
made it our business to make a mark. When joining our team at Ericsson you are empowered to learn,
lead and perform at your best, shaping the future of technology. This is a place where you're welcomed
as your own perfectly unique self, and celebrated for the skills, talent, and perspective you bring to the
team. Are you in?
Our Exciting Opportunity:
We are building a new unit within GFTL, to enable E2E R&D strategy execution with focus on Artificial Intelligence in Massy, France. This central unit is chartered with the responsibility of building a high-end competence center that brings together a team of AI research, data scientists, data engineers, SW architects and system engineers to deliver on the Ericsson’s ambitions in Telecom AI. The unit’s main responsibilities are technology and architecture studies, systemization of use cases and solutions, technical portfolio alignment, defining common assets, supporting research prototypes and research topics, all with strong focus on AI technology.
In the fifth-generation mobile networks 5G, AI technologies are an integral part of making the networks meet the new challenges and deliver performance that far exceeds networks of today. Machine Learning (ML) and other Artificial Intelligence (AI) technologies are vital to build optimized and highly automated systems towards the zero-touch vision of a cognitive network platform.
Are you the one!
You will :
Ericsson is looking for Data Scientists and Data Engineers who get inspired by technology and the
opportunities of data and AI, solving complex problems in a cross functional team together with subject
matter experts. As a Data Scientist/ Data Engineer, you have strong programming skills and deep
understanding of data science/engineering and Machine Learning tools.
You have proven experience in data science methodologies and know how to apply them to solve
challenging real-world problems as part of a highly dynamic and global team. You will be working on AI
research and development projects with other specialists to drive portfolio innovation and evolution in
the areas of data driven 5G network, distributed cloud, IoT and other emerging businesses.
To be successful in the role you need to :
Conduct functional and technical analysis and studies on AI technology, functionality, and
strategic customer needs as basis for development for new functionality and use cases.
Contribute to rapid and iterative development of high-quality AI applications. This includes
working with solutions for 5G-networks, IoT and data and machine learning systems.
Collaborate with product development teams and partners in Ericsson business to industrialize
machine learning models and solutions as part of Ericsson product and service portfolio.
Work with new technologies and champion them within Ericsson AI communities.Help to develop new and apply/ extend existing, concepts, methodologies, techniques for cross
functional initiatives.
Engage with external ecosystem (academia, technology leaders, open source, etc.) to develop
skills and technology portfolio.
Stay updated with the latest trends in research and technology, contributing with publications,
patents and technology innovation.
Position Qualifications:
MSc, or PhD in Computer Science, Machine Learning, Computer Engineering, Mathematics,
Physics, or related field (e.g. applied mathematics/statistics).
Strong skills in Machine Learning especially techniques such as Linear/Logistic Regression,
Bagging, Bayesian model, Neural Networks, Random forest, Gradient boosting, hyperparameter
optimization techniques etc.
Proven skills and track record (Github, open source etc.) in the use of current state of the art
machine learning frameworks such as Python, R, Scala, Tensorflow, SciKit, ONNX, PyTorch,
Spark etc. in developing ML/AI applications.
Experience of data engineering and data handling technologies and tools like Spark, Kafka,
ElasticSearch, Airflow, Kublefow, Seldon, NIFI for ML serving and LCM tooling.
Knowledge of Could technologies, Kubernetes, Docker and tooling is a plus.Applications/ domain-knowledge in telecommunication and/or IoT is a plus.Strong analytical skills and ability to acquire new knowledge and apply it in the job.Programming skills in various languages (C++, Scala, Java, R) with proficiency in Python or C++Good communication skills in written and spoken English.Creativity and ability to formulate problems and solve them independently.Experience in writing and presenting papers, journal articles and technical blogs on the results.Ability to work in a collaborative environment, working with multiple stakeholder business
units, global customers, technology and other ecosystem partners in a multi-culture, global
organization with sensitivity and persistence.

https://www.ericsson.com/en/careers
We provide equal employment opportunities without regard to race, color, gender, sexual orientation,
transgender status, gender identity and/or expression, marital status, pregnancy, parental status,
religion, political opinion, nationality, ethnic background, social origin, social status, disability, age, union
membership or employee representation and any other characteristic protected by local law or
Ericsson’s Code of Business Ethics.
Ericsson provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetics.
Ericsson complies with applicable country, state and all local laws governing nondiscrimination in employment in every location across the world in which the company has facilities. In addition, Ericsson supports the UN Guiding Principles for Business and Human Rights and the United Nations Global Compact.
This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, training and development.
Ericsson expressly prohibits any form of workplace harassment based on race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetic information.
Primary country and city: France (FR) || || Paris || [[mfield2]]
Req ID: 546238"
Data Scientist F/H,KONECRANES France,Lyon 3e (69),-,-,"Descriptif du poste:
Votre mission principale sera de participer activement à nos nombreuses initiatives. Vous prendrez une part active quant au développement de cas d’usage data science, et ce pour accompagner l’ensemble des départements de Konecranes, offrant ainsi une diversité de thématiques et d’interlocuteurs métiers. Vous interagirez avec des profils pluridisciplinaires (métiers mais également techniques tels que data engineers, machine learning engineer, expert métier,…).
Nous recherchons une personne avec une première expérience réussie dans le domaine de la data science, de préférence acquise chez un client final (hors conseil) qui souhaite prendre une part active dans le développement de notre lab data science et permettre à Konecranes de devenir une société où la data est au centre des décisions.
Vous avez un excellent relationnel avec une capacité à résoudre des problèmes complexes avec une envie de collaborer et grandir au sein de notre équipe.
Rattaché(e) au Directeur du Lab Data Science, Vos missions principales seront :
Interagir avec de multiples acteurs au sein de l’organisation (interlocuteur métier, profils data, IT),
Analyser les données internes de Konecranes,
Développer des modèles prédictifs en utilisant des algorithmes de Machine Learning afin de répondre à de véritables enjeux métiers,
Exploiter les données structurées et non structurées afin de transformer celles-ci en information,
Communiquer le statut et l'avancement des projets au directeur du lab,
Être actif(ve) dans le Data Science Lab, force de proposition,
Veille technologique autour de la data science et l’intelligence artificielle.
Profil recherché:
Diplôme d'études supérieures (Bac+5 et plus), avec une 1ère expérience professionnelle réussie dans le domaine de la Data Science / IA,
Capacité à développer des modèles prédictifs en utilisant des algorithmes de Machine Learning et Deep Learning,
Compréhension des réseaux de neurone, TAL (Traitement automatique du langage / NLP), classification, segmentation, prévision, arbres de décisions, …,
Connaissance approfondie de Python (pandas, numpy, scikit-learn),
Calculs distribués (Apache Spark),
Connaissance de l’environnement Microsoft Azure et de Databricks.
Excellente connaissance du SQL
Bonne communication avec une maitrise impérative de l’anglais (échanges quotidiens)
Curiosité
Qualité relationnelle avec un esprit d’équipe développé
Atouts pour le poste :
Méthodologies agiles (Scrum, Kanban),
Première expérience dans le domaine industriel ou dans une organisation matricielle serait un plus,
Power BI.
Rejoignez-nous !
Vous rejoindrez une équipe Data Science internationale dont la mission est de générer de la croissance et des gains de profit en développant des solutions data-driven. Vous aurez un rôle prépondérant dans la transformation digitale du groupe en ayant l’opportunité de travailler sur de nombreux cas d’usage pour Konecranes. Nous valorisons par ailleurs le développement professionnel de nos membres ainsi que le partage de connaissances au sein de l’équipe.
Entreprise:
Chez Konecranes, nous sommes convaincus qu’une bonne expérience client n’est possible que grâce au personnel qui se cache derrière le nom de Konecranes – un personnel qui s’engage à fournir à nos clients des équipements de levage et des services qui décuplent leurs activités. Tout ce que nous entreprenons, nous le faisons avec passion et persévérance.
Nous croyons que la diversité est le moteur de la réussite des entreprises et constitue le fondement de notre croissance. Nous accueillons des origines et des compétences venant de tous horizons qui enrichissent notre communauté et encourageons un environnement dans lequel nous pouvons TOUS être nous-mêmes. C’est en cela que Konecranes est un employeur unique en son genre.
Konecranes, l’un des groupes leaders de Lifting Businesses™, est le partenaire d’un nombre varié de clients. Nous sommes une entreprise d’envergure véritablement mondiale, avec 18 000 collaborateurs répartis sur plus de 600 sites dans 50 pays.
Nous sommes convaincus qu’une croissance durable est le résultat d’une performance à la fois solide et responsable. Konecranes s’engage à assurer, à tous les employés et candidats à un poste, un traitement équitable dans un environnement exempt de toute forme de discrimination."
DATA SCIENTIST CONSULTANT F/H,D3S,Grenoble (38),-,-,"Descriptif du poste:
Data Scientists et développeurs spécialistes du Data Mining et Machine Learning. Vous rejoignez une équipe de Data Scientists formés dans des établissements prestigieux (X, Centrale, ENS, Ensimag, Supaero, etc.)
Vous participerez à l’analyse de données et au développement de solutions innovantes
Les missions sont variées, avec des contextes spécifiques à chaque projet et des sponsors de haut niveau dans les organisations de nos clients.
Vous devrez pour cela démontrer une compréhension rapide des problématiques, mettre en œuvre des capacités d’analyse et de visualisation sur de grands volumes de données, et développer des solutions pertinentes dans le respect des délais.
Vous participerez activement aux réflexions sur le développement de la société.
Le poste est basé à Grenoble avec des possibilités de télétravail partiel.
D3S propose une rémunération attractive avec un bonus à la performance.
Profil recherché:
Qualifications
Ingénieur Grandes Ecoles / PhD, avec une expertise en Machine Learning et développement Python/SQL
Pas d’expérience minimum requise, simplement un excellent niveau et de la motivation
Compétences
Maitrise de Python et PostgreSQL
Data Mining et Machine Learning (Deep Learning et Computer Vision appréciées).
Développement front / back-end appréciée
Qualités de communication écrite et orale, en français et en anglais
Entreprise:
D3S (Data Science Strategic Services) est un cabinet de conseil en data science proposant des algorithmes et solutions innovantes à ses clients du CAC 40. Nous avons une activité importante dans les secteurs aéronautique et automobiles, avec un impact majeur démontré sur la performance opérationnelle.
D3S bénéficie d'un partenariat avec la société STEP Consulting, permettant de proposer une offre conjointe Business & Data Science. Un exemple de projet en vidéo, parmi tant d'autres: ""The Digital Costing""
Vous souhaitez rejoindre l'équipe, avec un challenge et des perspectives motivantes ? Contactez-nous !"
